timestamp,dst,dport,bytes,rtt_ms,status
1788187310.753050,10.0.0.100,3306,347,13.843,ok
1788187311.632200,10.0.0.100,80,3352,14.616,ok
1788187311.957539,10.0.0.100,443,4344,15.816,ok
1788187312.030346,10.0.0.100,22,238,14.074,ok
1788187312.151752,10.0.0.100,443,1271,17.490,ok
1788187312.629761,10.0.0.100,80,3751,13.809,ok
1788187312.720519,10.0.0.100,3306,425,13.600,ok
1788187313.655414,10.0.0.100,22,192,12.688,ok
1788187313.707631,10.0.0.100,443,4344,16.501,ok
1788187314.325366,10.0.0.100,443,1988,15.369,ok
1788187314.448501,10.0.0.100,80,1690,14.640,ok
1788187314.936142,10.0.0.100,22,208,12.316,ok
1788187315.083216,10.0.0.100,80,1674,13.870,ok
1788187315.132757,10.0.0.100,8080,745,14.311,ok
1788187315.878325,10.0.0.100,22,166,15.042,ok
1788187316.079043,10.0.0.100,22,344,15.006,ok
1788187317.124042,10.0.0.100,80,465,14.045,ok
1788187319.089492,10.0.0.100,3306,198,15.223,ok
1788187319.127204,10.0.0.100,8080,839,14.853,ok
1788187319.151607,10.0.0.100,3306,442,14.328,ok
1788187319.364912,10.0.0.100,8080,1075,14.032,ok
1788187321.314892,10.0.0.100,22,335,18.712,ok
1788187322.192456,10.0.0.100,3306,435,14.291,ok
1788187322.707336,10.0.0.100,443,1813,11.429,ok
1788187322.825959,10.0.0.100,80,3826,14.372,ok
1788187323.044103,10.0.0.100,8080,1196,13.460,ok
1788187323.127425,10.0.0.100,8080,1801,15.323,ok
1788187323.380116,10.0.0.100,3306,209,14.171,ok
1788187323.779052,10.0.0.100,80,887,14.884,ok
1788187324.534924,10.0.0.100,22,508,13.015,ok
1788187324.567116,10.0.0.100,443,5792,14.177,ok
1788187325.282942,10.0.0.100,3306,1008,14.302,ok
1788187325.368152,10.0.0.100,80,260,14.665,ok
1788187325.463146,10.0.0.100,443,5792,15.514,ok
1788187325.985133,10.0.0.100,8080,688,16.692,ok
1788187326.287627,10.0.0.100,3306,270,16.223,ok
1788187326.883273,10.0.0.100,3306,1024,13.585,ok
1788187327.561563,10.0.0.100,22,460,17.237,ok
1788187327.651302,10.0.0.100,22,203,14.385,ok
1788187328.020812,10.0.0.100,80,1239,15.003,ok
1788187330.068348,10.0.0.100,3306,703,14.777,ok
1788187334.001544,10.0.0.100,22,279,14.052,ok
1788187334.035835,10.0.0.100,8080,1951,13.748,ok
1788187334.189786,10.0.0.100,8080,1755,15.312,ok
1788187334.559797,10.0.0.100,443,2996,14.022,ok
1788187335.032003,10.0.0.100,443,1292,13.989,ok
1788187335.670311,10.0.0.100,22,425,18.014,ok
1788187336.762464,10.0.0.100,443,4670,15.663,ok
1788187337.833778,10.0.0.100,22,251,14.903,ok
1788187338.550392,10.0.0.100,443,4344,15.702,ok
1788187339.077757,10.0.0.100,443,5792,14.593,ok
1788187339.230170,10.0.0.100,3306,388,14.149,ok
1788187340.052334,10.0.0.100,8080,1771,21.385,ok
1788187340.546571,10.0.0.100,3306,386,27.211,ok
1788187340.834731,10.0.0.100,3306,878,14.349,ok
1788187341.718397,10.0.0.100,80,1283,16.799,ok
1788187342.037986,10.0.0.100,443,2638,14.580,ok
1788187343.254275,10.0.0.100,8080,762,16.677,ok
1788187345.747287,10.0.0.100,80,285,18.305,ok
1788187347.574637,10.0.0.100,3306,985,29.233,ok
1788187347.665451,10.0.0.100,443,4125,16.160,ok
1788187347.770658,10.0.0.100,22,434,14.303,ok
1788187347.809274,10.0.0.100,80,1547,20.017,ok
1788187347.879395,10.0.0.100,8080,1057,19.938,ok
1788187347.900667,10.0.0.100,443,4344,17.960,ok
1788187348.185000,10.0.0.100,443,2723,15.219,ok
1788187349.935415,10.0.0.100,3306,471,18.295,ok
1788187351.351264,10.0.0.100,8080,600,17.157,ok
1788187351.966579,10.0.0.100,3306,152,14.713,ok
1788187352.001601,10.0.0.100,22,474,15.743,ok
1788187353.178747,10.0.0.100,8080,693,23.317,ok
1788187353.487984,10.0.0.100,443,4344,21.193,ok
1788187354.870322,10.0.0.100,3306,219,16.814,ok
1788187354.974137,10.0.0.100,3306,697,15.979,ok
1788187356.305655,10.0.0.100,22,262,18.300,ok
1788187358.829957,10.0.0.100,8080,1944,16.801,ok
1788187359.012574,10.0.0.100,443,4344,16.502,ok
1788187360.321850,10.0.0.100,443,848,16.836,ok
1788187362.117618,10.0.0.100,8080,718,24.126,ok
1788187363.118201,10.0.0.100,22,355,17.421,ok
1788187363.703430,10.0.0.100,80,3189,18.894,ok
1788187364.184859,10.0.0.100,22,432,17.619,ok
1788187364.427294,10.0.0.100,3306,501,20.699,ok
1788187364.597093,10.0.0.100,443,1295,21.226,ok
1788187364.653096,10.0.0.100,443,1457,18.234,ok
1788187365.047550,10.0.0.100,22,172,30.478,ok
1788187366.126362,10.0.0.100,22,232,20.236,ok
1788187367.265305,10.0.0.100,8080,1537,22.144,ok
1788187367.362960,10.0.0.100,22,287,19.106,ok
1788187367.909500,10.0.0.100,8080,1140,19.368,ok
1788187368.012634,10.0.0.100,8080,828,20.820,ok
1788187368.904247,10.0.0.100,443,4344,21.252,ok
1788187369.128642,10.0.0.100,3306,142,21.093,ok
1788187369.193964,10.0.0.100,443,2336,21.461,ok
