timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s,redirected
1788270735.153,1,10.0.0.11,4,1,1.00,13,140.80,541772.80,208374.2,0.000,2.00,0
1788270735.153,1,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,2.00,0
1788270735.157,2,10.0.0.12,5,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270735.157,2,10.0.0.11,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270735.157,2,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,0.00,0
1788270735.157,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270737.168,1,10.0.0.12,3,1,1.40,12,108.20,462057.20,192523.8,0.000,3.50,0
1788270737.168,1,10.0.0.11,4,1,1.40,13,145.00,501090.00,192726.9,0.077,3.50,0
1788270737.168,1,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,3.50,0
1788270737.173,2,10.0.0.12,3,1,1.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270737.173,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270737.173,2,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,0.00,0
1788270737.173,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270739.163,1,10.0.0.12,4,1,1.60,13,127.80,534139.60,205438.3,0.000,4.50,0
1788270739.163,1,10.0.0.11,4,1,1.80,15,154.40,583630.40,194543.5,0.067,4.50,0
1788270739.164,2,10.0.0.12,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00,0
1788270739.164,2,10.0.0.11,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270739.164,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270741.159,1,10.0.0.12,4,1,1.40,12,122.00,499572.00,208155.0,0.000,1.00,0
1788270741.159,1,10.0.0.11,3,1,1.40,14,170.60,584699.60,208821.3,0.000,1.00,0
1788270741.161,2,10.0.0.12,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270741.161,2,10.0.0.11,3,1,1.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270741.161,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270743.164,2,10.0.0.12,2,1,0.80,0,0.00,0.00,0.0,0.000,1.50,0
1788270743.164,2,10.0.0.11,5,1,1.20,0,0.00,0.00,0.0,0.000,1.50,0
1788270743.164,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,1.50,0
1788270743.164,1,10.0.0.12,2,1,0.80,12,122.20,499585.20,208160.5,0.000,0.00,0
1788270743.164,1,10.0.0.11,5,1,1.20,14,158.00,542908.00,193895.7,0.071,0.00,0
1788270745.163,1,10.0.0.12,4,1,0.80,12,117.00,499242.00,208017.5,0.000,2.50,0
1788270745.163,1,10.0.0.11,4,1,0.80,13,154.40,542670.40,208719.4,0.000,2.50,0
1788270745.166,2,10.0.0.12,4,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
